
2019/1/4
----------------------------------Paramater Setting----------------------------------
Using lambdaA 0.0001 using lambdaR 0.0001 using lambdaV 0.0001 using lambdaS 0.001
using Maxiter 300 init_method random fit_method False checkpoint 1000,1100
Chemical:15076	Mutation:108023	Pathway:2363	Phenotype:7732	Genes:27165	Diseases:2665
Disease-Chemical:1310249
Disease-Mutation:54032
Disease-Pathway:150855
Disease-Phenotype:1033
Disease-Disease:1826
Gene-Chemical:507004
Gene-Mutation:116033
Gene-Pathway:135345
Gene-Phenotype:160931
Gene-Gene:379235
Gene-Disease:11224532
Disease-Gene:11224532
The shape of W: 29830*163024
The shape of X: 29830*29830*2
Initialized R
step: 157 | fit: 157.00000 | delta: 1.0e+00 | secs: 6.13768
step: 158 | fit: 158.00000 | delta: 1.0e+00 | secs: 6.08830
step: 159 | fit: 159.00000 | delta: 1.0e+00 | secs: 6.06037
step: 160 | fit: 160.00000 | delta: 1.0e+00 | secs: 6.16066
step: 161 | fit: 161.00000 | delta: 1.0e+00 | secs: 6.15793
step: 162 | fit: 162.00000 | delta: 1.0e+00 | secs: 6.09781
step: 163 | fit: 163.00000 | delta: 1.0e+00 | secs: 6.10673
step: 164 | fit: 164.00000 | delta: 1.0e+00 | secs: 6.13410
step: 165 | fit: 165.00000 | delta: 1.0e+00 | secs: 6.10701
step: 166 | fit: 166.00000 | delta: 1.0e+00 | secs: 6.15380
step: 167 | fit: 167.00000 | delta: 1.0e+00 | secs: 6.08453
step: 168 | fit: 168.00000 | delta: 1.0e+00 | secs: 6.15864
step: 169 | fit: 169.00000 | delta: 1.0e+00 | secs: 6.06880
step: 170 | fit: 170.00000 | delta: 1.0e+00 | secs: 6.25874
step: 171 | fit: 171.00000 | delta: 1.0e+00 | secs: 6.16035
step: 172 | fit: 172.00000 | delta: 1.0e+00 | secs: 6.23468
step: 173 | fit: 173.00000 | delta: 1.0e+00 | secs: 6.12569
step: 174 | fit: 174.00000 | delta: 1.0e+00 | secs: 6.10175
step: 175 | fit: 175.00000 | delta: 1.0e+00 | secs: 6.09816
step: 176 | fit: 176.00000 | delta: 1.0e+00 | secs: 6.25691
step: 177 | fit: 177.00000 | delta: 1.0e+00 | secs: 6.05825
step: 178 | fit: 178.00000 | delta: 1.0e+00 | secs: 6.09321
step: 179 | fit: 179.00000 | delta: 1.0e+00 | secs: 6.11092
step: 180 | fit: 180.00000 | delta: 1.0e+00 | secs: 6.08541
step: 181 | fit: 181.00000 | delta: 1.0e+00 | secs: 6.06822
step: 182 | fit: 182.00000 | delta: 1.0e+00 | secs: 6.07257
step: 183 | fit: 183.00000 | delta: 1.0e+00 | secs: 6.05737
step: 184 | fit: 184.00000 | delta: 1.0e+00 | secs: 6.85433
step: 185 | fit: 185.00000 | delta: 1.0e+00 | secs: 6.04518
step: 186 | fit: 186.00000 | delta: 1.0e+00 | secs: 6.06619
step: 187 | fit: 187.00000 | delta: 1.0e+00 | secs: 6.05182
step: 188 | fit: 188.00000 | delta: 1.0e+00 | secs: 6.08626
step: 189 | fit: 189.00000 | delta: 1.0e+00 | secs: 6.07957
step: 190 | fit: 190.00000 | delta: 1.0e+00 | secs: 6.08294
step: 191 | fit: 191.00000 | delta: 1.0e+00 | secs: 6.06342
step: 192 | fit: 192.00000 | delta: 1.0e+00 | secs: 6.07198
step: 193 | fit: 193.00000 | delta: 1.0e+00 | secs: 6.06495
step: 194 | fit: 194.00000 | delta: 1.0e+00 | secs: 6.07290
step: 195 | fit: 195.00000 | delta: 1.0e+00 | secs: 6.02794
step: 196 | fit: 196.00000 | delta: 1.0e+00 | secs: 6.03391
